viti	vita	VERB
dæmi	dæmi	NOUN
til	til	ADP
og	og	CCONJ
svo	svo	ADV
fram	fram	ADP
farið	fara	VERB
og	og	CCONJ
eigi	ekki	ADV
ólíklegt	ólíklegur	ADJ
að	að	SCONJ
með	með	ADP
því	það	PRON
endist	enda	VERB
.	.	PUNCT

Nú	nú	ADV
vil	vilja	AUX
eg	ég	PRON
þess	það	PRON
spyrja	spyrja	VERB
hvort	hvort	SCONJ
nokkur	nokkur	DET
sætt	sætt	NOUN
skal	skulu	AUX
koma	koma	VERB
fyrir	fyrir	ADP
málið	mál	NOUN
.	.	PUNCT
"	"	PUNCT

Hermundur	hermundur	PROPN
segir	segja	VERB
:	:	PUNCT
"	"	PUNCT
Ekki	ekki	ADV
viljum	vilja	AUX
vér	ég	PRON
taka	taka	VERB
utan	utan	ADV
sjálfdæmi	sjálfdæmi	NOUN
.	.	PUNCT
"	"	PUNCT

Ófeigur	ófeigur	PROPN
mælti	mæla	VERB
:	:	PUNCT
"	"	PUNCT
Til	til	ADP
þess	það	PRON
munu	munu	AUX
menn	maður	NOUN
trautt	trautt	ADV
vita	vita	VERB
dæmi	dæmi	NOUN
að	að	SCONJ
einn	einn	DET
maður	maður	NOUN
hafi	hafa	AUX
selt	selja	VERB
átta	átta	NUM
mönnum	maður	NOUN
sjálfdæmi	sjálfdæmi	NOUN
á	á	ADP
einu	einn	DET
máli	mál	NOUN
en	en	CCONJ
til	til	ADP
þess	það	PRON
eru	vera	AUX
dæmi	dæmi	NOUN
að	að	SCONJ
einn	einn	DET
maður	maður	NOUN
selji	selja	VERB
einum	einn	DET
manni	maður	NOUN
.	.	PUNCT

Alls	alls	ADP
þó	þó	ADV
hefir	hafa	AUX
þetta	þessi	DET
með	með	ADP
meirum	mikill	DET
fádæmum	fádæmi	NOUN
gengið	ganga	VERB
heldur	heldur	ADV
en	en	SCONJ
hvert	hver	DET
annarra	annar	PRON
þá	þá	ADV
vil	vilja	AUX
eg	ég	PRON
bjóða	bjóða	VERB
að	að	SCONJ
tveir	tveir	NUM
geri	gera	VERB
af	af	ADP
yðrum	yðar	PRON
flokki	flokkur	NOUN
.	.	PUNCT
"	"	PUNCT

Hermundur	hermundur	PROPN
segir	segja	VERB
:	:	PUNCT
"	"	PUNCT
Því	það	PRON
viljum	vilja	AUX
vér	ég	PRON
víst	víst	ADV
játa	játa	VERB
og	og	CCONJ
hirðum	hirða	VERB
eigi	ekki	ADV
hverjir	hver	DET
tveir	tveir	NUM
gera	gera	VERB
.	.	PUNCT
"	"	PUNCT

"	"	PUNCT
Þá	þá	ADV
munuð	munu	AUX
þér	þú	PRON
unna	unna	VERB
mér	ég	PRON
þess	það	PRON
,	,	PUNCT
"	"	PUNCT
segir	segja	VERB
Ófeigur	ófeigur	PROPN
,	,	PUNCT
"	"	PUNCT
að	að	SCONJ
eg	ég	PRON
hafi	hafa	AUX
þá	sá	DET
vegtyllu	vegtylla	NOUN
að	að	SCONJ
eg	ég	PRON
kjósi	kjósa	VERB
af	af	ADP
yður	þú	PRON
bandamönnum	bandamaður	NOUN
þá	sá	DET
tvo	tveir	NUM
er	er	SCONJ
eg	ég	PRON
vil	vilja	AUX
.	.	PUNCT
"	"	PUNCT

"	"	PUNCT
Já	já	INTJ
,	,	PUNCT
já	já	INTJ
,	,	PUNCT
"	"	PUNCT
segir	segja	VERB
Hermundur	hermundur	PROPN
.	.	PUNCT

Þá	þá	ADV
mælti	mæla	VERB
Þórarinn	þórarinn	PROPN
:	:	PUNCT
"	"	PUNCT
Já	játa	VERB
þú	þú	PRON
nú	nú	ADV
því	sá	DET
einu	einn	ADV
í	í	ADP
dag	dagur	NOUN
er	er	SCONJ
þú	þú	PRON
iðrast	iðrast	VERB
eigi	ekki	ADV
á	á	ADP
morgun	morgunn	NOUN
.	.	PUNCT
"	"	PUNCT

"	"	PUNCT
Eigi	ekki	ADV
skal	skulu	AUX
nú	nú	ADV
aftur	aftur	ADV
mæla	mæla	VERB
,	,	PUNCT
"	"	PUNCT
segir	segja	VERB
Hermundur	hermundur	PROPN
.	.	PUNCT

Nú	nú	ADV
leitar	leita	VERB
Ófeigur	ófeigur	PROPN
borgunarmanna	borgunarmaður	NOUN
og	og	CCONJ
varð	verða	VERB
það	það	PRON
auðvelt	auðveldur	ADJ
því	það	PRON
að	að	SCONJ
fjárstaður	fjárstaður	NOUN
þótti	þykja	VERB
vís	vís	ADJ
.	.	PUNCT

Nú	nú	ADV
takast	taka	VERB
menn	maður	NOUN
í	í	ADP
hendur	hönd	NOUN
og	og	CCONJ
handsala	handsala	VERB
þeir	hann	PRON
fégjöld	fégjald	NOUN
slík	slíkur	PRON
sem	sem	SCONJ
þeir	hann	PRON
vilja	vilja	AUX
gert	gera	VERB
hafa	hafa	AUX
er	er	SCONJ
Ófeigur	ófeigur	PROPN
nefnir	nefna	VERB
til	til	ADP
en	en	CCONJ
bandamenn	bandamaður	NOUN
handsala	handsala	VERB
niðurfall	niðurfall	NOUN
að	að	ADP
sökum	sök	NOUN
.	.	PUNCT

Nú	nú	ADV
er	vera	AUX
svo	svo	ADV
ætlað	ætla	VERB
að	að	SCONJ
bandamenn	bandamaður	NOUN
skulu	skulu	AUX
ganga	ganga	VERB
upp	upp	ADP
á	á	ADP
völlu	völlur	NOUN
með	með	ADP
flokka	flokkur	NOUN
sína	sinn	PRON
.	.	PUNCT

Flokkar	flokkur	NOUN
þeirra	hann	PRON
Gellis	gellir	PROPN
og	og	CCONJ
Egils	egill	PROPN
ganga	ganga	VERB
báðir	báðir	DET
saman	saman	ADV
,	,	PUNCT
setjast	setja	VERB
niður	niður	ADP
í	í	ADP
einn	einn	DET
stað	staður	NOUN
í	í	ADP
hvirfing	hvirfing	NOUN
.	.	PUNCT

En	en	CCONJ
Ófeigur	ófeigur	PROPN
gengur	ganga	VERB
í	í	ADP
hringinn	hringur	NOUN
,	,	PUNCT
litast	litast	VERB
um	um	ADP
og	og	CCONJ
lyftir	lyfta	VERB
kápuhettinum	kápuhöttur	NOUN
,	,	PUNCT
strýkur	strjúka	VERB
handleggina	handleggur	NOUN
og	og	CCONJ
stendur	standa	VERB
heldur	heldur	ADV
keikari	keikur	ADJ
.	.	PUNCT

Hann	hann	PRON
titrar	titra	VERB
augunum	auga	NOUN
og	og	CCONJ
talaði	tala	VERB
síðan	síðan	ADV
:	:	PUNCT
"	"	PUNCT
Þar	þar	ADV
situr	sitja	VERB
þú	þú	PRON
,	,	PUNCT
Styrmir	styrmir	PROPN
,	,	PUNCT
og	og	CCONJ
mun	munu	AUX
mönnum	maður	NOUN
það	það	PRON
undarlegt	undarlegur	ADJ
þykja	þykja	VERB
ef	ef	SCONJ
eg	ég	PRON
læt	láta	VERB
þig	þú	PRON
eigi	ekki	ADV
koma	koma	VERB
í	í	ADP
það	sá	DET
mál	mál	NOUN
er	er	SCONJ
mig	ég	PRON
tekur	taka	VERB
henda	henda	VERB
því	það	PRON
að	að	SCONJ
eg	ég	PRON
er	vera	AUX
í	í	ADP
þingi	þing	NOUN
með	með	ADP
þér	þú	PRON
og	og	CCONJ
á	eiga	VERB
eg	ég	PRON
þar	þar	ADV
til	til	ADP
trausts	traust	NOUN
að	að	PART
sjá	sjá	VERB
er	er	SCONJ
þú	þú	PRON
ert	vera	AUX
og	og	CCONJ
þú	þú	PRON
hefir	hafa	AUX
margar	margur	DET
góðar	góður	ADJ
gjafar	gjöf	NOUN
af	af	ADP
mér	ég	PRON
þegið	þiggja	VERB
og	og	CCONJ
allar	allur	DET
illu	illur	ADJ
launað	launa	VERB
.	.	PUNCT

Hyggst	hyggja	VERB
mér	ég	PRON
svo	svo	ADV
að	að	ADP
sem	sem	SCONJ
þú	þú	PRON
hafir	hafa	AUX
um	um	ADP
þenna	þessi	DET
hlut	hlutur	NOUN
fyrstur	fyrstur	ADJ
manna	maður	NOUN
fjandskap	fjandskapur	NOUN
sýnt	sýna	VERB
Oddi	oddur	PROPN
syni	sonur	NOUN
mínum	minn	PRON
og	og	CCONJ
valdið	valda	VERB
mest	meira	DET
er	er	SCONJ
málið	mál	NOUN
var	vera	AUX
upp	upp	ADP
tekið	taka	VERB
og	og	CCONJ
vil	vilja	AUX
eg	ég	PRON
þig	þú	PRON
frá	frá	ADP
taka	taka	VERB
.	.	PUNCT

"	"	PUNCT
Þar	þar	ADV
situr	sitja	VERB
þú	þú	PRON
,	,	PUNCT
Þórarinn	þórarinn	PROPN
,	,	PUNCT
"	"	PUNCT
segir	segja	VERB
Ófeigur	ófeigur	PROPN
,	,	PUNCT
"	"	PUNCT
og	og	CCONJ
er	vera	AUX
víst	víst	ADV
að	að	SCONJ
eigi	ekki	ADV
mun	munu	AUX
það	það	PRON
hér	hér	ADV
til	til	ADP
bera	bera	VERB
að	að	SCONJ
eigi	ekki	ADV
hafir	hafa	AUX
þú	þú	PRON
vit	vit	NOUN
til	til	ADP
að	að	PART
dæma	dæma	VERB
um	um	ADP
þetta	þessi	DET
mál	mál	NOUN
en	en	CCONJ
þó	þó	ADV
hefir	hafa	AUX
þú	þú	PRON
Oddi	oddur	PROPN
til	til	ADP
óþurftar	óþurft	NOUN
lagt	leggja	VERB
í	í	ADP
þessari	þessi	DET
grein	grein	NOUN
og	og	CCONJ
fyrstur	fyrstur	ADJ
manna	maður	NOUN
með	með	ADP
Styrmi	styrmir	PROPN
tekið	taka	VERB
undir	undir	ADP
þetta	þessi	DET
mál	mál	NOUN
og	og	CCONJ
vil	vilja	AUX
eg	ég	PRON
þig	þú	PRON
fyrir	fyrir	ADP
því	það	PRON
frá	frá	ADP
kjósa	kjósa	VERB
.	.	PUNCT

Þar	þar	ADV
situr	sitja	VERB
þú	þú	PRON
,	,	PUNCT
Hermundur	hermundur	PROPN
,	,	PUNCT
mikill	mikill	DET
höfðingi	höfðingi	NOUN
,	,	PUNCT
og	og	CCONJ
það	það	PRON
ætla	ætla	VERB
eg	ég	PRON
að	að	SCONJ
þá	þá	ADV
mundi	munu	AUX
vel	vel	ADV
komið	koma	VERB
þó	þó	SCONJ
að	að	SCONJ
undir	undir	ADP
þig	þú	PRON
væri	vera	AUX
vikið	víkja	VERB
málinu	mál	NOUN
en	en	CCONJ
þó	þó	ADV
hefir	hafa	VERB
engi	enginn	DET
maður	maður	NOUN
verið	vera	AUX
jafnæstur	jafnæstur	ADJ
síðan	síðan	ADP
þetta	þessi	DET
hófst	hefja	VERB
og	og	CCONJ
það	það	PRON
lýst	lýsa	VERB
að	að	SCONJ
þú	þú	PRON
vildir	vilja	AUX
